step,elapsed,x_laser,G,cooling_rate,R,Tmax
3840,3841.00,73.82,1.2817e-02,2.0461e-04,1.5965e-02,1.2493
3860,3861.00,74.22,1.2823e-02,2.0616e-04,1.6077e-02,1.2493
3880,3881.00,74.62,1.2809e-02,2.0684e-04,1.6148e-02,1.2494
3900,3901.00,75.02,1.2813e-02,2.0765e-04,1.6205e-02,1.2493
3920,3921.00,75.42,1.2786e-02,2.0761e-04,1.6236e-02,1.2494
3940,3941.00,75.82,1.2782e-02,2.0781e-04,1.6259e-02,1.2494
3960,3961.00,76.22,1.2772e-02,2.0663e-04,1.6179e-02,1.2494
3980,3981.00,76.62,1.2776e-02,2.0593e-04,1.6118e-02,1.2493
4000,4001.00,77.02,1.2765e-02,2.0636e-04,1.6167e-02,1.2494
4020,4021.00,77.42,1.2761e-02,2.0702e-04,1.6223e-02,1.2493
4040,4041.00,77.82,1.2762e-02,2.0747e-04,1.6257e-02,1.2493
4060,4061.00,78.22,1.2779e-02,2.0721e-04,1.6215e-02,1.2493
4080,4081.00,78.62,1.2795e-02,2.0618e-04,1.6113e-02,1.2493
4100,4101.00,79.02,1.2811e-02,2.0694e-04,1.6153e-02,1.2493
4120,4121.00,79.42,1.2808e-02,2.0682e-04,1.6147e-02,1.2493
4140,4141.00,79.82,1.2822e-02,2.0639e-04,1.6097e-02,1.2492
4160,4161.00,80.22,1.2841e-02,2.0566e-04,1.6016e-02,1.2492
4180,4181.00,80.62,1.2844e-02,2.0513e-04,1.5971e-02,1.2492
4200,4201.00,81.02,1.2851e-02,2.0485e-04,1.5940e-02,1.2492
4220,4221.00,81.42,1.2876e-02,2.0474e-04,1.5901e-02,1.2492
4240,4241.00,81.82,1.2866e-02,2.0457e-04,1.5900e-02,1.2492
4260,4261.00,82.22,1.2857e-02,2.0507e-04,1.5950e-02,1.2493
4280,4281.00,82.62,1.2825e-02,2.0634e-04,1.6088e-02,1.2493
4300,4301.00,83.02,1.2773e-02,2.0825e-04,1.6304e-02,1.2493
4320,4321.00,83.42,1.2747e-02,2.0876e-04,1.6377e-02,1.2493
4340,4341.00,83.82,1.2733e-02,2.0872e-04,1.6392e-02,1.2493
4360,4361.00,84.22,1.2724e-02,2.0840e-04,1.6378e-02,1.2492
4380,4381.00,84.62,1.2732e-02,2.0795e-04,1.6333e-02,1.2492
4400,4401.00,85.02,1.2734e-02,2.0741e-04,1.6288e-02,1.2491
4420,4421.00,85.42,1.2751e-02,2.0787e-04,1.6302e-02,1.2491
4440,4441.00,85.82,1.2762e-02,2.0789e-04,1.6290e-02,1.2490
4460,4461.00,86.22,1.2783e-02,2.0807e-04,1.6278e-02,1.2490
4480,4481.00,86.62,1.2797e-02,2.0748e-04,1.6213e-02,1.2489
4500,4501.00,87.02,1.2816e-02,2.0666e-04,1.6126e-02,1.2489
4520,4521.00,87.42,1.2838e-02,2.0571e-04,1.6024e-02,1.2488
4540,4541.00,87.82,1.2863e-02,2.0420e-04,1.5875e-02,1.2489
4560,4561.00,88.22,1.2882e-02,2.0214e-04,1.5692e-02,1.2488
4580,4581.00,88.62,1.2906e-02,2.0147e-04,1.5611e-02,1.2489
4600,4601.00,89.02,1.2885e-02,2.0268e-04,1.5730e-02,1.2488
4620,4621.00,89.42,1.2868e-02,2.0628e-04,1.6031e-02,1.2490
4640,4641.00,89.82,1.2824e-02,2.0808e-04,1.6225e-02,1.2490
4660,4661.00,90.22,1.2790e-02,2.0921e-04,1.6358e-02,1.2491
4680,4681.00,90.62,1.2757e-02,2.0990e-04,1.6453e-02,1.2491
4700,4701.00,91.02,1.2741e-02,2.1026e-04,1.6503e-02,1.2492
4720,4721.00,91.42,1.2733e-02,2.1019e-04,1.6508e-02,1.2491
4740,4741.00,91.82,1.2733e-02,2.0984e-04,1.6479e-02,1.2492
4760,4761.00,92.22,1.2740e-02,2.0951e-04,1.6445e-02,1.2491
4780,4781.00,92.62,1.2748e-02,2.0916e-04,1.6407e-02,1.2491
4800,4801.00,93.02,1.2762e-02,2.0918e-04,1.6391e-02,1.2490
4820,4821.00,93.42,1.2772e-02,2.0858e-04,1.6331e-02,1.2491
4840,4841.00,93.82,1.2791e-02,2.0798e-04,1.6261e-02,1.2490
4860,4861.00,94.22,1.2793e-02,2.0674e-04,1.6161e-02,1.2491
4880,4881.00,94.62,1.2800e-02,2.0670e-04,1.6148e-02,1.2491
4900,4901.00,95.02,1.2788e-02,2.0696e-04,1.6184e-02,1.2492
4920,4921.00,95.42,1.2780e-02,2.0692e-04,1.6192e-02,1.2492
4940,4941.00,95.82,1.2775e-02,2.0700e-04,1.6204e-02,1.2493
4960,4961.00,96.22,1.2792e-02,2.0711e-04,1.6190e-02,1.2493
4980,4981.00,96.62,1.2799e-02,2.0591e-04,1.6088e-02,1.2493
5000,5001.00,97.02,1.2827e-02,2.0535e-04,1.6010e-02,1.2493
5020,5021.00,97.42,1.2823e-02,2.0439e-04,1.5939e-02,1.2494
5040,5041.00,97.82,1.2828e-02,2.0446e-04,1.5938e-02,1.2494
5060,5061.00,98.22,1.2800e-02,2.0494e-04,1.6011e-02,1.2494
5080,5081.00,98.62,1.2802e-02,2.0712e-04,1.6179e-02,1.2495
5100,5101.00,99.02,1.2774e-02,2.0751e-04,1.6244e-02,1.2495
5120,5121.00,99.42,1.2794e-02,2.0884e-04,1.6323e-02,1.2496
5140,5141.00,99.82,1.2773e-02,2.0799e-04,1.6283e-02,1.2496
5160,5161.00,100.22,1.2787e-02,2.0728e-04,1.6211e-02,1.2496
5180,5181.00,100.62,1.2767e-02,2.0518e-04,1.6071e-02,1.2496
5200,5201.00,101.02,1.2770e-02,2.0434e-04,1.6001e-02,1.2497
5220,5221.00,101.42,1.2756e-02,2.0314e-04,1.5925e-02,1.2496
5240,5241.00,101.82,1.2767e-02,2.0385e-04,1.5967e-02,1.2497
5260,5261.00,102.22,1.2753e-02,2.0500e-04,1.6074e-02,1.2497
5280,5281.00,102.62,1.2766e-02,2.0746e-04,1.6251e-02,1.2498
5300,5301.00,103.02,1.2755e-02,2.0868e-04,1.6361e-02,1.2498
5320,5321.00,103.42,1.2760e-02,2.0805e-04,1.6306e-02,1.2499
5340,5341.00,103.82,1.2764e-02,2.0562e-04,1.6109e-02,1.2498
5360,5361.00,104.22,1.2767e-02,2.0290e-04,1.5892e-02,1.2499
5380,5381.00,104.62,1.2788e-02,2.0201e-04,1.5797e-02,1.2498
5400,5401.00,105.02,1.2781e-02,2.0165e-04,1.5777e-02,1.2499
5420,5421.00,105.42,1.2803e-02,2.0294e-04,1.5851e-02,1.2498
5440,5441.00,105.82,1.2794e-02,2.0374e-04,1.5925e-02,1.2498
5460,5461.00,106.22,1.2803e-02,2.0529e-04,1.6035e-02,1.2497
5480,5481.00,106.62,1.2805e-02,2.0537e-04,1.6037e-02,1.2498
5500,5501.00,107.02,1.2807e-02,2.0420e-04,1.5944e-02,1.2496
5520,5521.00,107.42,1.2802e-02,2.0283e-04,1.5844e-02,1.2497
5540,5541.00,107.82,1.2792e-02,2.0174e-04,1.5772e-02,1.2496
5560,5561.00,108.22,1.2787e-02,2.0127e-04,1.5740e-02,1.2496
5580,5581.00,108.62,1.2783e-02,2.0146e-04,1.5760e-02,1.2495
5600,5601.00,109.02,1.2777e-02,2.0222e-04,1.5827e-02,1.2496
5620,5621.00,109.42,1.2786e-02,2.0336e-04,1.5905e-02,1.2495
5640,5641.00,109.82,1.2791e-02,2.0408e-04,1.5955e-02,1.2496
5660,5661.00,110.22,1.2802e-02,2.0463e-04,1.5985e-02,1.2495
5680,5681.00,110.62,1.2822e-02,2.0492e-04,1.5982e-02,1.2495
5700,5701.00,111.02,1.2820e-02,2.0462e-04,1.5960e-02,1.2494
5720,5721.00,111.42,1.2833e-02,2.0518e-04,1.5989e-02,1.2494
5740,5741.00,111.82,1.2851e-02,2.0546e-04,1.5989e-02,1.2493
5760,5761.00,112.22,1.2863e-02,2.0406e-04,1.5864e-02,1.2493
5780,5781.00,112.62,1.2883e-02,2.0194e-04,1.5675e-02,1.2492
5800,5801.00,113.02,1.2899e-02,2.0019e-04,1.5520e-02,1.2492
5820,5821.00,113.42,1.2902e-02,1.9905e-04,1.5428e-02,1.2491
5840,5841.00,113.82,1.2930e-02,1.9877e-04,1.5373e-02,1.2491
5860,5861.00,114.22,1.2940e-02,1.9808e-04,1.5308e-02,1.2491
