id,x,y,psi,avg_angle,phi6,avg_dist,nbr1_id,nbr1_x,nbr1_y,nbr1_dist,nbr1_angle,nbr2_id,nbr2_x,nbr2_y,nbr2_dist,nbr2_angle,nbr3_id,nbr3_x,nbr3_y,nbr3_dist,nbr3_angle,nbr4_id,nbr4_x,nbr4_y,nbr4_dist,nbr4_angle,nbr5_id,nbr5_x,nbr5_y,nbr5_dist,nbr5_angle,nbr6_id,nbr6_x,nbr6_y,nbr6_dist,nbr6_angle
1,0.0,0.0,1.6031126008117222,0.525,0.006,6.274,51,3.125,5.46875,6.298,1.0516502125483738,2,6.25,0.0,6.25,0.0,,,,,,,,,,,,,,,,,,,,
2,6.25,0.0,1.6303124482793554,1.52,-0.038,6.575,3,13.28125,0.0,7.031,0.0,52,10.15625,5.46875,6.72,0.9505468408120752,51.0,3.125,5.46875,6.298,2.0899424410414196,1.0,0.0,0.0,6.25,3.141592653589793,,,,,,,,,,
3,13.28125,0.0,1.6389928663424147,1.598,0.02,7.032,2,6.25,0.0,7.031,3.141592653589793,56,16.40625,6.25,6.987,1.1071487177940904,4.0,21.09375,0.0,7.812,0.0,52.0,10.15625,5.46875,6.298,2.0899424410414196,,,,,,,,,,
4,21.09375,0.0,1.625116473853291,1.776,0.307,7.263,31,27.34375,3.125,6.987,0.4636476090008061,3,13.28125,0.0,7.812,3.141592653589793,56.0,16.40625,6.25,7.812,2.214297435588181,57.0,22.65625,6.25,6.442,1.3258176636680326,,,,,,,,,,
5,33.59375,0.0,1.6752797235298613,1.57,-0.001,7.002,75,33.59375,7.03125,7.031,1.5707963267948966,31,27.34375,3.125,6.987,2.677945044588987,32.0,39.84375,3.125,6.987,0.4636476090008061,,,,,,,,,,,,,,,
6,45.3125,0.0,1.5353375180734208,1.268,-0.47,7.565,7,52.34375,0.0,7.031,0.0,32,39.84375,3.125,6.298,2.62244653934327,58.0,50.78125,6.25,8.304,0.8519663271732721,79.0,44.53125,8.59375,8.629,1.6614562139956417,,,,,,,,,,
7,52.34375,0.0,1.5651940407448028,1.82,0.489,6.59,6,45.3125,0.0,7.031,3.141592653589793,58,50.78125,6.25,6.442,1.8157749899217608,33.0,57.8125,3.125,6.298,0.5191461142465229,,,,,,,,,,,,,,,
8,63.28125,0.0,1.6257271630630725,1.597,0.066,6.943,50,68.75,3.90625,6.72,0.6202494859828215,78,63.28125,7.8125,7.812,1.5707963267948966,33.0,57.8125,3.125,6.298,2.62244653934327,,,,,,,,,,,,,,,
9,72.65625,0.0,1.493849154096125,0.582,0.178,6.099,10,78.90625,0.0,6.25,0.0,53,75.0,5.46875,5.949,1.1659045405098132,,,,,,,,,,,,,,,,,,,,
10,78.90625,0.0,1.6173570828555528,1.621,0.037,6.575,11,85.9375,0.0,7.031,0.0,53,75.0,5.46875,6.72,2.191045812777718,54.0,82.03125,5.46875,6.298,1.0516502125483738,9.0,72.65625,0.0,6.25,3.141592653589793,,,,,,,,,,
11,85.9375,0.0,1.6683023795909666,1.649,0.058,6.747,10,78.90625,0.0,7.031,3.141592653589793,59,89.0625,6.25,6.987,1.1071487177940904,54.0,82.03125,5.46875,6.72,2.191045812777718,12.0,92.1875,0.0,6.25,0.0,,,,,,,,,,
