id,x,y,psi,avg_angle,phi6,avg_dist,nbr1_id,nbr1_x,nbr1_y,nbr1_dist,nbr1_angle,nbr2_id,nbr2_x,nbr2_y,nbr2_dist,nbr2_angle,nbr3_id,nbr3_x,nbr3_y,nbr3_dist,nbr3_angle,nbr4_id,nbr4_x,nbr4_y,nbr4_dist,nbr4_angle,nbr5_id,nbr5_x,nbr5_y,nbr5_dist,nbr5_angle,nbr6_id,nbr6_x,nbr6_y,nbr6_dist,nbr6_angle
1,0.0,0.0,1.580450164196646,0.525,0.006,6.664,2,7.03125,0.0,7.031,0.0,49,3.125,5.46875,6.298,1.0516502125483738,,,,,,,,,,,,,,,,,,,,
2,7.03125,0.0,1.648586665350631,1.621,0.037,6.77,1,0.0,0.0,7.031,3.141592653589793,3,14.0625,0.0,7.031,0.0,49.0,3.125,5.46875,6.72,2.191045812777718,50.0,10.15625,5.46875,6.298,1.0516502125483738,,,,,,,,,,
3,14.0625,0.0,1.6140562244034948,1.649,0.058,7.138,2,7.03125,0.0,7.031,3.141592653589793,59,17.1875,6.25,6.987,1.1071487177940904,50.0,10.15625,5.46875,6.72,2.191045812777718,4.0,21.875,0.0,7.812,0.0,,,,,,,,,,
4,21.875,0.0,1.547941402322007,1.747,0.265,7.614,3,14.0625,0.0,7.812,3.141592653589793,59,17.1875,6.25,7.812,2.214297435588181,31.0,28.125,2.34375,6.675,0.35877067027057225,73.0,24.21875,7.8125,8.156,1.2793395323170296,,,,,,,,,,
5,39.0625,0.0,1.641380113970213,1.336,-0.335,7.027,67,37.5,7.03125,7.202,1.7894652726688385,51,43.75,5.46875,7.202,0.8621700546672264,6.0,46.09375,0.0,7.031,0.0,32.0,32.8125,2.34375,6.675,2.782821983319221,,,,,,,,,,
6,46.09375,0.0,1.5291399174668714,2.558,-0.179,6.49,5,39.0625,0.0,7.031,3.141592653589793,51,43.75,5.46875,5.949,1.97568811307998,,,,,,,,,,,,,,,,,,,,
7,56.25,0.0,1.5637610647825553,1.506,-0.104,7.045,34,62.5,3.125,6.987,0.4636476090008061,74,57.03125,7.8125,7.851,1.4711276743037347,33.0,50.78125,3.125,6.298,2.62244653934327,,,,,,,,,,,,,,,
8,67.96875,0.0,1.5305528479868657,1.311,0.268,6.274,34,62.5,3.125,6.298,2.62244653934327,9,74.21875,0.0,6.25,0.0,,,,,,,,,,,,,,,,,,,,
9,74.21875,0.0,1.6077684438189894,1.821,0.377,7.101,52,69.53125,5.46875,7.202,2.279422598922567,35,80.46875,3.125,6.987,0.4636476090008061,75.0,75.78125,7.8125,7.967,1.373400766945016,8.0,67.96875,0.0,6.25,3.141592653589793,,,,,,,,,,
10,92.96875,0.0,1.6400485591964962,1.298,-0.414,7.238,68,91.40625,7.03125,7.202,1.7894652726688385,11,100.0,0.0,7.031,0.0,36.0,86.71875,3.125,6.987,2.677945044588987,53.0,98.4375,5.46875,7.733,0.7853981633974483,,,,,,,,,,
11,100.0,0.0,1.5465448931271761,1.83,-0.269,6.664,10,92.96875,0.0,7.031,3.141592653589793,37,105.46875,3.125,6.298,0.5191461142465229,,,,,,,,,,,,,,,,,,,,
12,111.71875,0.0,1.6494933407351557,1.57,-0.001,7.002,69,111.71875,7.03125,7.031,1.5707963267948966,37,105.46875,3.125,6.987,2.677945044588987,38.0,117.96875,3.125,6.987,0.4636476090008061,,,,,,,,,,,,,,,
13,124.21875,0.0,1.6310858567870574,1.505,-0.085,6.758,38,117.96875,3.125,6.987,2.677945044588987,39,130.46875,3.125,6.987,0.4636476090008061,60.0,125.0,6.25,6.298,1.446441332248135,,,,,,,,,,,,,,,
14,137.5,0.0,1.5993373034291076,1.648,0.118,6.993,40,143.75,3.125,6.987,0.4636476090008061,39,130.46875,3.125,7.694,2.723368324010564,61.0,136.71875,6.25,6.298,1.695151321341658,,,,,,,,,,,,,,,
15,150.0,0.0,1.6041445646239827,1.276,-0.443,7.543,16,157.03125,0.0,7.031,0.0,40,143.75,3.125,6.987,2.677945044588987,76.0,149.21875,7.8125,7.851,1.6704649792860586,62.0,155.46875,6.25,8.304,0.8519663271732721,,,,,,,,,,
16,157.03125,0.0,1.6050774615796732,1.82,0.489,6.59,15,150.0,0.0,7.031,3.141592653589793,62,155.46875,6.25,6.442,1.8157749899217608,41.0,162.5,3.125,6.298,0.5191461142465229,,,,,,,,,,,,,,,
17,168.75,0.0,1.6518939084384003,1.57,-0.001,7.002,70,168.75,7.03125,7.031,1.5707963267948966,41,162.5,3.125,6.987,2.677945044588987,42.0,175.0,3.125,6.987,0.4636476090008061,,,,,,,,,,,,,,,
18,180.46875,0.0,1.6203725153488076,1.5,-0.111,6.786,71,181.25,7.03125,7.074,1.460139105621001,43,186.71875,3.125,6.987,0.4636476090008061,42.0,175.0,3.125,6.298,2.62244653934327,,,,,,,,,,,,,,,
19,194.53125,0.0,1.5803259559210552,1.448,-0.198,7.224,55,198.4375,5.46875,6.72,0.9505468408120752,20,202.34375,0.0,7.812,0.0,43.0,186.71875,3.125,8.414,2.761086276477428,54.0,192.1875,5.46875,5.949,1.97568811307998,,,,,,,,,,
20,202.34375,0.0,1.6269482993782487,1.621,0.037,6.965,21,209.375,0.0,7.031,0.0,55,198.4375,5.46875,6.72,2.191045812777718,19.0,194.53125,0.0,7.812,3.141592653589793,56.0,205.46875,5.46875,6.298,1.0516502125483738,,,,,,,,,,
21,209.375,0.0,1.4746727222243579,2.134,0.04,7.04,63,213.28125,6.25,7.37,1.0121970114513341,20,202.34375,0.0,7.031,3.141592653589793,56.0,205.46875,5.46875,6.72,2.191045812777718,,,,,,,,,,,,,,,
22,214.0625,0.0,1.393562410832593,1.079,-0.427,6.643,44,220.3125,3.125,6.987,0.4636476090008061,63,213.28125,6.25,6.298,1.695151321341658,,,,,,,,,,,,,,,,,,,,
23,226.5625,0.0,1.6442560128987018,1.57,-0.001,7.002,72,226.5625,7.03125,7.031,1.5707963267948966,44,220.3125,3.125,6.987,2.677945044588987,45.0,232.8125,3.125,6.987,0.4636476090008061,,,,,,,,,,,,,,,
24,238.28125,0.0,1.625069539358948,1.557,-0.037,6.512,46,244.53125,3.125,6.987,0.4636476090008061,45,232.8125,3.125,6.298,2.62244653934327,64.0,238.28125,6.25,6.25,1.5707963267948966,,,,,,,,,,,,,,,
25,250.78125,0.0,1.599049408412306,1.56,-0.029,6.977,46,244.53125,3.125,6.987,2.677945044588987,47,257.8125,3.125,7.694,0.4182243295792291,65.0,250.78125,6.25,6.25,1.5707963267948966,,,,,,,,,,,,,,,
26,264.84375,0.0,1.6190789722135739,1.388,-0.277,7.673,27,271.875,0.0,7.031,0.0,47,257.8125,3.125,7.694,2.723368324010564,66.0,269.53125,6.25,7.812,0.9272952180016122,77.0,262.5,7.8125,8.156,1.8622531212727638,,,,,,,,,,
27,271.875,0.0,1.6528004212603673,1.395,-0.132,6.985,57,276.5625,5.46875,7.202,0.8621700546672264,26,264.84375,0.0,7.031,3.141592653589793,28.0,278.90625,0.0,7.031,0.0,66.0,269.53125,6.25,6.675,1.9295669970654687,,,,,,,,,,
