step,elapsed,x_laser,G,cooling_rate,R,Tmax
170,171.00,21.00,2.6927e-02,1.6597e-02,6.1638e-01,1.0346
180,181.00,31.00,3.4417e-02,1.1959e-02,3.4746e-01,1.2099
190,191.00,41.00,3.4717e-02,9.6048e-03,2.7666e-01,1.3385
200,201.00,51.00,3.3181e-02,7.9922e-03,2.4087e-01,1.4310
210,211.00,61.00,3.1428e-02,7.0540e-03,2.2445e-01,1.4986
220,221.00,71.00,2.9453e-02,6.5402e-03,2.2205e-01,1.5510
230,231.00,81.00,2.8478e-02,5.9554e-03,2.0912e-01,1.5584
240,241.00,91.00,2.7179e-02,5.6692e-03,2.0859e-01,1.5793
250,251.00,101.00,2.5294e-02,5.1980e-03,2.0550e-01,1.5733
260,261.00,111.00,2.3722e-02,4.9250e-03,2.0761e-01,1.5885
270,271.00,121.00,2.2442e-02,4.6158e-03,2.0568e-01,1.5844
280,281.00,131.00,2.1655e-02,4.3025e-03,1.9869e-01,1.5849
290,291.00,141.00,2.0351e-02,4.1824e-03,2.0551e-01,1.5744
300,301.00,151.00,1.9437e-02,4.0449e-03,2.0810e-01,1.5811
310,311.00,161.00,1.9037e-02,3.7947e-03,1.9934e-01,1.5817
320,321.00,171.00,1.8369e-02,3.6960e-03,2.0121e-01,1.5805
330,331.00,181.00,1.7810e-02,3.5880e-03,2.0146e-01,1.5756
340,341.00,191.00,1.6940e-02,3.1737e-03,1.8735e-01,1.5821
350,351.00,201.00,1.5652e-02,2.0190e-03,1.2899e-01,1.5871
