step,elapsed,x_laser,G,cooling_rate,R,Tmax
1400,1401.00,125.10,7.2293e-03,5.5017e-04,7.6103e-02,1.0922
1410,1411.00,126.10,7.2626e-03,5.5121e-04,7.5898e-02,1.0929
1420,1421.00,127.10,7.2796e-03,5.5033e-04,7.5599e-02,1.0934
1430,1431.00,128.10,7.2891e-03,5.4901e-04,7.5320e-02,1.0933
1440,1441.00,129.10,7.3158e-03,5.4810e-04,7.4920e-02,1.0931
1450,1451.00,130.10,7.3424e-03,5.4605e-04,7.4369e-02,1.0928
1460,1461.00,131.10,7.3689e-03,5.4335e-04,7.3736e-02,1.0930
1470,1471.00,132.10,7.4056e-03,5.3888e-04,7.2767e-02,1.0937
1480,1481.00,133.10,7.4452e-03,5.3434e-04,7.1771e-02,1.0940
1490,1491.00,134.10,7.5055e-03,5.2974e-04,7.0581e-02,1.0938
1500,1501.00,135.10,7.5766e-03,5.2392e-04,6.9150e-02,1.0932
1510,1511.00,136.10,7.6406e-03,5.1659e-04,6.7611e-02,1.0926
1520,1521.00,137.10,7.7129e-03,5.0976e-04,6.6092e-02,1.0921
1530,1531.00,138.10,7.7853e-03,5.0240e-04,6.4532e-02,1.0926
1540,1541.00,139.10,7.8293e-03,4.9297e-04,6.2965e-02,1.0938
1550,1551.00,140.10,7.9271e-03,4.8433e-04,6.1098e-02,1.0943
1560,1561.00,141.10,7.9871e-03,4.7444e-04,5.9401e-02,1.0943
1570,1571.00,142.10,8.0424e-03,4.6452e-04,5.7758e-02,1.0937
1580,1581.00,143.10,8.1606e-03,4.5433e-04,5.5673e-02,1.0927
1590,1591.00,144.10,8.2227e-03,4.4482e-04,5.4096e-02,1.0918
1600,1601.00,145.10,8.2786e-03,4.3583e-04,5.2645e-02,1.0912
1610,1611.00,146.10,8.3054e-03,4.2705e-04,5.1418e-02,1.0904
1620,1621.00,147.10,8.3630e-03,4.2036e-04,5.0264e-02,1.0890
1630,1631.00,148.10,8.4093e-03,4.1320e-04,4.9136e-02,1.0873
1640,1641.00,149.10,8.4140e-03,4.1015e-04,4.8746e-02,1.0851
1650,1651.00,150.10,8.4140e-03,4.0626e-04,4.8284e-02,1.0827
