step,elapsed,x_laser,G,cooling_rate,R,Tmax
23640,23641.00,54.03,1.5395e-02,1.9592e-05,1.2726e-03,1.2428
23660,23661.00,54.08,1.5402e-02,1.9669e-05,1.2771e-03,1.2427
23680,23681.00,54.12,1.5405e-02,1.9769e-05,1.2833e-03,1.2425
23700,23701.00,54.17,1.5393e-02,1.9840e-05,1.2889e-03,1.2423
23720,23721.00,54.21,1.5389e-02,1.9914e-05,1.2940e-03,1.2421
23740,23741.00,54.26,1.5387e-02,2.0015e-05,1.3008e-03,1.2420
23760,23761.00,54.31,1.5388e-02,2.0088e-05,1.3054e-03,1.2418
23780,23781.00,54.35,1.5402e-02,1.9936e-05,1.2944e-03,1.2416
23800,23801.00,54.40,1.5379e-02,1.9519e-05,1.2692e-03,1.2414
23820,23821.00,54.44,1.5386e-02,1.9163e-05,1.2454e-03,1.2413
23840,23841.00,54.49,1.5381e-02,1.9049e-05,1.2385e-03,1.2411
23860,23861.00,54.54,1.5385e-02,1.9120e-05,1.2428e-03,1.2409
23880,23881.00,54.58,1.5392e-02,1.9217e-05,1.2485e-03,1.2408
23900,23901.00,54.63,1.5378e-02,1.9346e-05,1.2580e-03,1.2406
23920,23921.00,54.67,1.5366e-02,1.9442e-05,1.2653e-03,1.2405
23940,23941.00,54.72,1.5380e-02,1.9537e-05,1.2703e-03,1.2403
23960,23961.00,54.77,1.5389e-02,1.9618e-05,1.2748e-03,1.2402
23980,23981.00,54.81,1.5391e-02,1.9666e-05,1.2778e-03,1.2400
24000,24001.00,54.86,1.5378e-02,1.9739e-05,1.2836e-03,1.2399
24020,24021.00,54.90,1.5383e-02,1.9743e-05,1.2834e-03,1.2397
24040,24041.00,54.95,1.5382e-02,1.9762e-05,1.2847e-03,1.2395
24060,24061.00,55.00,1.5374e-02,1.9767e-05,1.2857e-03,1.2394
24080,24081.00,55.04,1.5374e-02,1.9818e-05,1.2890e-03,1.2392
24100,24101.00,55.09,1.5372e-02,1.9816e-05,1.2891e-03,1.2390
24120,24121.00,55.13,1.5391e-02,1.9673e-05,1.2782e-03,1.2389
24140,24141.00,55.18,1.5424e-02,1.9274e-05,1.2496e-03,1.2387
24160,24161.00,55.23,1.5444e-02,1.8903e-05,1.2240e-03,1.2385
24180,24181.00,55.27,1.5469e-02,1.8724e-05,1.2104e-03,1.2383
24200,24201.00,55.32,1.5489e-02,1.8725e-05,1.2089e-03,1.2381
24220,24221.00,55.36,1.5505e-02,1.8804e-05,1.2127e-03,1.2379
24240,24241.00,55.41,1.5501e-02,1.8926e-05,1.2210e-03,1.2378
24260,24261.00,55.46,1.5522e-02,1.9022e-05,1.2255e-03,1.2376
24280,24281.00,55.50,1.5516e-02,1.9145e-05,1.2339e-03,1.2374
24300,24301.00,55.55,1.5538e-02,1.9216e-05,1.2368e-03,1.2372
24320,24321.00,55.59,1.5542e-02,1.9285e-05,1.2409e-03,1.2371
24340,24341.00,55.64,1.5570e-02,1.9333e-05,1.2416e-03,1.2369
24360,24361.00,55.69,1.5579e-02,1.9324e-05,1.2404e-03,1.2367
24380,24381.00,55.73,1.5593e-02,1.9358e-05,1.2415e-03,1.2366
24400,24401.00,55.78,1.5613e-02,1.9397e-05,1.2424e-03,1.2364
24420,24421.00,55.82,1.5627e-02,1.9482e-05,1.2467e-03,1.2362
24440,24441.00,55.87,1.5617e-02,1.9551e-05,1.2519e-03,1.2361
24460,24461.00,55.92,1.5624e-02,1.9679e-05,1.2595e-03,1.2359
24480,24481.00,55.96,1.5641e-02,1.9890e-05,1.2716e-03,1.2357
24500,24501.00,56.01,1.5658e-02,1.9912e-05,1.2717e-03,1.2355
24520,24521.00,56.05,1.5644e-02,1.9473e-05,1.2447e-03,1.2353
24540,24541.00,56.10,1.5638e-02,1.8961e-05,1.2125e-03,1.2351
24560,24561.00,56.15,1.5658e-02,1.8753e-05,1.1976e-03,1.2349
24580,24581.00,56.19,1.5659e-02,1.8785e-05,1.1997e-03,1.2347
24600,24601.00,56.24,1.5660e-02,1.8920e-05,1.2082e-03,1.2345
24620,24621.00,56.28,1.5647e-02,1.9057e-05,1.2179e-03,1.2343
