step,elapsed,x_laser,G,cooling_rate,R,Tmax
24380,24381.00,55.73,1.9427e-02,2.5112e-05,1.2927e-03,1.3434
24400,24401.00,55.78,1.9394e-02,2.5099e-05,1.2942e-03,1.3434
24420,24421.00,55.82,1.9453e-02,2.5088e-05,1.2897e-03,1.3434
24440,24441.00,55.87,1.9441e-02,2.5049e-05,1.2884e-03,1.3434
24460,24461.00,55.92,1.9457e-02,2.5087e-05,1.2894e-03,1.3434
24480,24481.00,55.96,1.9461e-02,2.5163e-05,1.2930e-03,1.3434
24500,24501.00,56.01,1.9439e-02,2.5154e-05,1.2940e-03,1.3434
24520,24521.00,56.05,1.9464e-02,2.5157e-05,1.2925e-03,1.3434
24540,24541.00,56.10,1.9511e-02,2.5171e-05,1.2901e-03,1.3434
24560,24561.00,56.15,1.9549e-02,2.5221e-05,1.2901e-03,1.3434
24580,24581.00,56.19,1.9558e-02,2.5263e-05,1.2917e-03,1.3433
24600,24601.00,56.24,1.9559e-02,2.5282e-05,1.2926e-03,1.3434
24620,24621.00,56.28,1.9529e-02,2.5376e-05,1.2994e-03,1.3434
24640,24641.00,56.33,1.9557e-02,2.5432e-05,1.3004e-03,1.3434
24660,24661.00,56.38,1.9563e-02,2.5447e-05,1.3008e-03,1.3434
24680,24681.00,56.42,1.9638e-02,2.5445e-05,1.2957e-03,1.3434
24700,24701.00,56.47,1.9626e-02,2.5393e-05,1.2938e-03,1.3434
24720,24721.00,56.51,1.9616e-02,2.5381e-05,1.2939e-03,1.3434
24740,24741.00,56.56,1.9533e-02,2.5376e-05,1.2992e-03,1.3434
24760,24761.00,56.61,1.9490e-02,2.5386e-05,1.3025e-03,1.3434
24780,24781.00,56.65,1.9459e-02,2.5339e-05,1.3022e-03,1.3434
24800,24801.00,56.70,1.9472e-02,2.5336e-05,1.3011e-03,1.3434
24820,24821.00,56.74,1.9441e-02,2.5335e-05,1.3032e-03,1.3434
24840,24841.00,56.79,1.9435e-02,2.5311e-05,1.3024e-03,1.3434
24860,24861.00,56.84,1.9412e-02,2.5247e-05,1.3006e-03,1.3434
24880,24881.00,56.88,1.9439e-02,2.5295e-05,1.3013e-03,1.3434
24900,24901.00,56.93,1.9413e-02,2.5298e-05,1.3031e-03,1.3433
24920,24921.00,56.97,1.9418e-02,2.5388e-05,1.3075e-03,1.3433
24940,24941.00,57.02,1.9431e-02,2.5423e-05,1.3083e-03,1.3433
24960,24961.00,57.07,1.9447e-02,2.5539e-05,1.3133e-03,1.3433
24980,24981.00,57.11,1.9409e-02,2.5530e-05,1.3153e-03,1.3433
25000,25001.00,57.16,1.9380e-02,2.5505e-05,1.3160e-03,1.3434
25020,25021.00,57.20,1.9409e-02,2.5477e-05,1.3126e-03,1.3434
25040,25041.00,57.25,1.9354e-02,2.5419e-05,1.3134e-03,1.3434
25060,25061.00,57.30,1.9366e-02,2.5393e-05,1.3112e-03,1.3434
25080,25081.00,57.34,1.9378e-02,2.5354e-05,1.3084e-03,1.3434
25100,25101.00,57.39,1.9348e-02,2.5297e-05,1.3075e-03,1.3434
25120,25121.00,57.43,1.9360e-02,2.5173e-05,1.3002e-03,1.3433
25140,25141.00,57.48,1.9402e-02,2.5097e-05,1.2935e-03,1.3433
25160,25161.00,57.53,1.9372e-02,2.5031e-05,1.2921e-03,1.3433
25180,25181.00,57.57,1.9411e-02,2.4944e-05,1.2850e-03,1.3433
25200,25201.00,57.62,1.9420e-02,2.4849e-05,1.2796e-03,1.3433
25220,25221.00,57.66,1.9420e-02,2.4832e-05,1.2787e-03,1.3432
25240,25241.00,57.71,1.9396e-02,2.4807e-05,1.2790e-03,1.3432
25260,25261.00,57.76,1.9393e-02,2.4821e-05,1.2799e-03,1.3432
25280,25281.00,57.80,1.9455e-02,2.4842e-05,1.2769e-03,1.3432
25300,25301.00,57.85,1.9428e-02,2.4905e-05,1.2820e-03,1.3432
25320,25321.00,57.89,1.9388e-02,2.4899e-05,1.2843e-03,1.3432
25340,25341.00,57.94,1.9407e-02,2.4867e-05,1.2814e-03,1.3432
25360,25361.00,57.99,1.9422e-02,2.4874e-05,1.2807e-03,1.3432
25380,25381.00,58.03,1.9414e-02,2.4866e-05,1.2809e-03,1.3432
25400,25401.00,58.08,1.9360e-02,2.4868e-05,1.2845e-03,1.3432
25420,25421.00,58.12,1.9413e-02,2.4855e-05,1.2803e-03,1.3432
25440,25441.00,58.17,1.9420e-02,2.4887e-05,1.2815e-03,1.3432
25460,25461.00,58.22,1.9784e-02,2.4860e-05,1.2566e-03,1.3432
25480,25481.00,58.26,1.9893e-02,2.4846e-05,1.2490e-03,1.3432
25500,25501.00,58.31,1.9973e-02,2.4835e-05,1.2435e-03,1.3432
25520,25521.00,58.35,1.9979e-02,2.4791e-05,1.2408e-03,1.3432
25540,25541.00,58.40,2.0100e-02,2.4727e-05,1.2302e-03,1.3431
25560,25561.00,58.45,2.0101e-02,2.4738e-05,1.2307e-03,1.3431
25580,25581.00,58.49,2.0141e-02,2.4718e-05,1.2273e-03,1.3431
25600,25601.00,58.54,2.0160e-02,2.4724e-05,1.2264e-03,1.3431
25620,25621.00,58.58,2.0180e-02,2.4758e-05,1.2269e-03,1.3430
25640,25641.00,58.63,2.0263e-02,2.4829e-05,1.2253e-03,1.3430
25660,25661.00,58.68,2.0272e-02,2.4843e-05,1.2255e-03,1.3430
25680,25681.00,58.72,2.0421e-02,2.4812e-05,1.2150e-03,1.3431
25700,25701.00,58.77,2.0436e-02,2.4840e-05,1.2155e-03,1.3431
25720,25721.00,58.81,2.0509e-02,2.4810e-05,1.2098e-03,1.3431
25740,25741.00,58.86,2.0519e-02,2.4823e-05,1.2098e-03,1.3431
25760,25761.00,58.91,2.0519e-02,2.4824e-05,1.2098e-03,1.3431
25780,25781.00,58.95,2.0620e-02,2.4853e-05,1.2053e-03,1.3431
25800,25801.00,59.00,2.0597e-02,2.4808e-05,1.2045e-03,1.3431
25820,25821.00,59.04,2.0700e-02,2.4792e-05,1.1977e-03,1.3431
25840,25841.00,59.09,2.0708e-02,2.4784e-05,1.1968e-03,1.3430
25860,25861.00,59.14,2.0723e-02,2.4667e-05,1.1903e-03,1.3430
25880,25881.00,59.18,2.0886e-02,2.4568e-05,1.1762e-03,1.3430
25900,25901.00,59.23,2.0884e-02,2.4514e-05,1.1738e-03,1.3430
25920,25921.00,59.27,2.0860e-02,2.4444e-05,1.1718e-03,1.3430
25940,25941.00,59.32,2.0955e-02,2.4416e-05,1.1652e-03,1.3429
25960,25961.00,59.37,2.0951e-02,2.4402e-05,1.1647e-03,1.3429
25980,25981.00,59.41,2.0938e-02,2.4497e-05,1.1700e-03,1.3429
26000,26001.00,59.46,2.0943e-02,2.4509e-05,1.1703e-03,1.3428
26020,26021.00,59.50,2.0973e-02,2.4560e-05,1.1711e-03,1.3428
26040,26041.00,59.55,2.1042e-02,2.4672e-05,1.1725e-03,1.3428
26060,26061.00,59.60,2.1062e-02,2.4798e-05,1.1774e-03,1.3429
26080,26081.00,59.64,2.1084e-02,2.4944e-05,1.1831e-03,1.3429
26100,26101.00,59.69,2.1141e-02,2.5065e-05,1.1856e-03,1.3429
26120,26121.00,59.73,2.1154e-02,2.5147e-05,1.1888e-03,1.3428
26140,26141.00,59.78,2.1242e-02,2.5070e-05,1.1802e-03,1.3428
26160,26161.00,59.83,2.1244e-02,2.4931e-05,1.1736e-03,1.3428
26180,26181.00,59.87,2.1193e-02,2.4787e-05,1.1696e-03,1.3428
26200,26201.00,59.92,2.1212e-02,2.4574e-05,1.1585e-03,1.3428
26220,26221.00,59.96,2.1229e-02,2.4507e-05,1.1544e-03,1.3428
26240,26241.00,60.01,2.1341e-02,2.4449e-05,1.1456e-03,1.3427
26260,26261.00,60.06,2.1358e-02,2.4443e-05,1.1445e-03,1.3427
26280,26281.00,60.10,2.1350e-02,2.4417e-05,1.1436e-03,1.3427
26300,26301.00,60.15,2.1357e-02,2.4409e-05,1.1429e-03,1.3426
26320,26321.00,60.19,2.1320e-02,2.4472e-05,1.1479e-03,1.3426
26340,26341.00,60.24,2.1376e-02,2.4408e-05,1.1418e-03,1.3425
26360,26361.00,60.29,2.1466e-02,2.4310e-05,1.1325e-03,1.3425
26380,26381.00,60.33,2.1483e-02,2.4239e-05,1.1283e-03,1.3425
26400,26401.00,60.38,2.1492e-02,2.4246e-05,1.1281e-03,1.3425
26420,26421.00,60.42,2.1522e-02,2.4234e-05,1.1260e-03,1.3425
26440,26441.00,60.47,2.1538e-02,2.4273e-05,1.1270e-03,1.3425
26460,26461.00,60.52,2.1535e-02,2.4305e-05,1.1286e-03,1.3425
26480,26481.00,60.56,2.1582e-02,2.4301e-05,1.1260e-03,1.3425
26500,26501.00,60.61,2.1607e-02,2.4329e-05,1.1260e-03,1.3425
26520,26521.00,60.65,2.1616e-02,2.4399e-05,1.1287e-03,1.3425
26540,26541.00,60.70,2.1672e-02,2.4361e-05,1.1240e-03,1.3424
26560,26561.00,60.75,2.1758e-02,2.4371e-05,1.1201e-03,1.3424
26580,26581.00,60.79,2.1761e-02,2.4451e-05,1.1236e-03,1.3424
26600,26601.00,60.84,2.1824e-02,2.4450e-05,1.1204e-03,1.3424
26620,26621.00,60.88,2.1842e-02,2.4492e-05,1.1213e-03,1.3424
26640,26641.00,60.93,2.1834e-02,2.4599e-05,1.1266e-03,1.3423
26660,26661.00,60.98,2.1804e-02,2.4721e-05,1.1338e-03,1.3423
26680,26681.00,61.02,2.1811e-02,2.4781e-05,1.1361e-03,1.3423
26700,26701.00,61.07,2.1913e-02,2.4802e-05,1.1319e-03,1.3422
26720,26721.00,61.11,2.1973e-02,2.4822e-05,1.1297e-03,1.3422
26740,26741.00,61.16,2.1950e-02,2.4809e-05,1.1303e-03,1.3421
26760,26761.00,61.21,2.1969e-02,2.4746e-05,1.1264e-03,1.3421
26780,26781.00,61.25,2.1998e-02,2.4736e-05,1.1244e-03,1.3421
26800,26801.00,61.30,2.1992e-02,2.4729e-05,1.1245e-03,1.3421
26820,26821.00,61.34,2.2147e-02,2.4673e-05,1.1140e-03,1.3421
26840,26841.00,61.39,2.2132e-02,2.4671e-05,1.1148e-03,1.3421
26860,26861.00,61.44,2.2113e-02,2.4728e-05,1.1183e-03,1.3420
26880,26881.00,61.48,2.2155e-02,2.4626e-05,1.1115e-03,1.3420
26900,26901.00,61.53,2.2188e-02,2.4575e-05,1.1076e-03,1.3420
26920,26921.00,61.57,2.2179e-02,2.4524e-05,1.1057e-03,1.3420
26940,26941.00,61.62,2.2290e-02,2.4451e-05,1.0969e-03,1.3419
26960,26961.00,61.67,2.2322e-02,2.4420e-05,1.0940e-03,1.3419
26980,26981.00,61.71,2.2319e-02,2.4412e-05,1.0938e-03,1.3419
27000,27001.00,61.76,2.2310e-02,2.4522e-05,1.0992e-03,1.3418
27020,27021.00,61.80,2.2321e-02,2.4473e-05,1.0964e-03,1.3418
27040,27041.00,61.85,2.2302e-02,2.4441e-05,1.0959e-03,1.3417
27060,27061.00,61.90,2.2310e-02,2.4447e-05,1.0958e-03,1.3417
27080,27081.00,61.94,2.2425e-02,2.4438e-05,1.0897e-03,1.3416
27100,27101.00,61.99,2.2277e-02,2.4451e-05,1.0976e-03,1.3416
27120,27121.00,62.03,2.2222e-02,2.4506e-05,1.1028e-03,1.3415
27140,27141.00,62.08,2.2114e-02,2.4535e-05,1.1095e-03,1.3414
27160,27161.00,62.13,2.2135e-02,2.4568e-05,1.1099e-03,1.3414
27180,27181.00,62.17,2.2055e-02,2.4590e-05,1.1149e-03,1.3414
