id,x,y,psi,avg_angle,phi6,avg_dist,nbr1_id,nbr1_x,nbr1_y,nbr1_dist,nbr1_angle,nbr2_id,nbr2_x,nbr2_y,nbr2_dist,nbr2_angle,nbr3_id,nbr3_x,nbr3_y,nbr3_dist,nbr3_angle,nbr4_id,nbr4_x,nbr4_y,nbr4_dist,nbr4_angle,nbr5_id,nbr5_x,nbr5_y,nbr5_dist,nbr5_angle,nbr6_id,nbr6_x,nbr6_y,nbr6_dist,nbr6_angle
243,28.90625,34.375,1.6942342877312244,1.466,0.305,7.04,196,27.34375,27.34375,7.202,-1.7894652726688385,214,34.375,29.6875,7.202,-0.7086262721276703,287.0,30.46875,41.40625,7.202,1.3521273809209546,281.0,24.21875,39.84375,7.202,2.279422598922567,267.0,35.15625,37.5,6.987,0.4636476090008061,235.0,22.65625,32.8125,6.442,-2.896613990462929
244,52.34375,34.375,1.6595942285516512,-0.087,0.082,6.742,289,54.6875,41.40625,7.411,1.2490457723982544,247,59.375,35.15625,7.074,0.11065722117389565,215.0,47.65625,29.6875,6.629,-2.356194490192345,202.0,55.46875,28.90625,6.298,-1.0516502125483738,268.0,46.875,37.5,6.298,2.62244653934327,,,,,
245,292.1875,34.375,1.6872782538762872,1.21,0.367,7.224,199,290.625,27.34375,7.202,-1.7894652726688385,279,286.71875,39.0625,7.202,2.432966381462123,295.0,293.75,41.40625,7.202,1.3521273809209546,223.0,298.4375,30.46875,7.37,-0.5585993153435624,274.0,299.21875,37.5,7.694,0.4182243295792291,234.0,285.9375,32.03125,6.675,-2.782821983319221
246,10.9375,35.15625,1.6199570984880938,-0.093,0.437,7.418,280,5.46875,39.84375,7.202,2.432966381462123,275,17.96875,38.28125,7.694,0.4182243295792291,224.0,16.40625,31.25,6.72,-0.6202494859828215,299.0,12.5,42.96875,7.967,1.373400766945016,232.0,5.46875,32.03125,6.298,-2.62244653934327,191.0,11.71875,26.5625,8.629,-1.4801364395941514
247,59.375,35.15625,1.6502648104540185,-2.538,0.032,7.21,202,55.46875,28.90625,7.37,-2.129395642138459,244,52.34375,34.375,7.074,-3.0309354324158977,248.0,66.40625,35.15625,7.031,0.0,203.0,62.5,28.90625,6.987,-1.1071487177940904,290.0,62.5,41.40625,6.987,1.1071487177940904,289.0,54.6875,41.40625,7.812,2.214297435588181
248,66.40625,35.15625,1.6808448480545393,3.141,-0.001,7.129,203,62.5,28.90625,7.37,-2.129395642138459,290,62.5,41.40625,7.37,2.129395642138459,249.0,73.4375,35.15625,7.031,0.0,247.0,59.375,35.15625,7.031,3.141592653589793,204.0,69.53125,28.90625,6.987,-1.1071487177940904,291.0,69.53125,41.40625,6.987,1.1071487177940904
249,73.4375,35.15625,1.6971656956617067,3.141,-0.001,7.129,204,69.53125,28.90625,7.37,-2.129395642138459,291,69.53125,41.40625,7.37,2.129395642138459,250.0,80.46875,35.15625,7.031,0.0,248.0,66.40625,35.15625,7.031,3.141592653589793,205.0,76.5625,28.90625,6.987,-1.1071487177940904,292.0,76.5625,41.40625,6.987,1.1071487177940904
250,80.46875,35.15625,1.7114784016648104,3.141,-0.001,7.129,205,76.5625,28.90625,7.37,-2.129395642138459,292,76.5625,41.40625,7.37,2.129395642138459,251.0,87.5,35.15625,7.031,0.0,249.0,73.4375,35.15625,7.031,3.141592653589793,206.0,83.59375,28.90625,6.987,-1.1071487177940904,293.0,83.59375,41.40625,6.987,1.1071487177940904
251,87.5,35.15625,1.6642637349197578,2.206,0.041,7.318,206,83.59375,28.90625,7.37,-2.129395642138459,207,91.40625,28.90625,7.37,-1.0121970114513341,293.0,83.59375,41.40625,7.37,2.129395642138459,252.0,94.53125,35.9375,7.074,0.11065722117389565,250.0,80.46875,35.15625,7.031,3.141592653589793,296.0,90.625,42.1875,7.694,1.1525719972156676
252,94.53125,35.9375,1.68718133481205,-0.817,0.052,7.276,297,98.4375,42.1875,7.37,1.0121970114513341,296,90.625,42.1875,7.37,2.129395642138459,251.0,87.5,35.15625,7.074,-3.0309354324158977,207.0,91.40625,28.90625,7.694,-1.9890206563741257,260.0,102.34375,36.71875,7.851,0.09966865249116202,217.0,97.65625,30.46875,6.298,-1.0516502125483738
253,110.15625,35.9375,1.6576398278425697,-0.941,-0.414,7.827,218,105.46875,30.46875,7.202,-2.279422598922567,233,116.40625,32.03125,7.37,-0.5585993153435624,260.0,102.34375,36.71875,7.851,3.0419240010986313,200.0,111.71875,28.125,7.967,-1.373400766945016,312.0,112.5,43.75,8.156,1.2793395323170296,278.0,117.96875,39.0625,8.414,0.3805063771123649
254,130.46875,35.9375,1.6944803254614393,-2.318,0.274,7.246,283,125.0,40.625,7.202,2.432966381462123,208,128.125,28.90625,7.411,-1.892546881191539,276.0,137.5,38.28125,7.411,0.3217505543966422,239.0,123.4375,33.59375,7.411,-2.819842099193151,301.0,132.8125,42.96875,7.411,1.2490457723982544,225.0,135.15625,31.25,6.629,-0.7853981633974483
