step,elapsed,x_laser,G,cooling_rate,R,Tmax
3340,5011.50,95.73,2.3751e-02,3.9284e-04,1.6540e-02,2.5214
3360,5041.50,96.33,2.3862e-02,3.9101e-04,1.6386e-02,2.5213
3380,5071.50,96.93,2.3977e-02,3.8814e-04,1.6188e-02,2.5212
3400,5101.50,97.53,2.4039e-02,3.8652e-04,1.6079e-02,2.5213
3420,5131.50,98.13,2.3978e-02,3.8581e-04,1.6090e-02,2.5214
3440,5161.50,98.73,2.3825e-02,3.8572e-04,1.6189e-02,2.5214
3460,5191.50,99.33,2.3731e-02,3.8677e-04,1.6298e-02,2.5212
3480,5221.50,99.93,2.3614e-02,3.8620e-04,1.6355e-02,2.5213
3500,5251.50,100.53,2.3601e-02,3.8696e-04,1.6396e-02,2.5214
3520,5281.50,101.13,2.3661e-02,3.8840e-04,1.6415e-02,2.5214
3540,5311.50,101.73,2.3621e-02,3.8622e-04,1.6351e-02,2.5213
3560,5341.50,102.33,2.3768e-02,3.8745e-04,1.6301e-02,2.5212
3580,5371.50,102.93,2.3914e-02,3.8779e-04,1.6216e-02,2.5213
3600,5401.50,103.53,2.4005e-02,3.8716e-04,1.6128e-02,2.5214
3620,5431.50,104.13,2.4047e-02,3.8616e-04,1.6058e-02,2.5213
3640,5461.50,104.73,2.4031e-02,3.8657e-04,1.6087e-02,2.5211
3660,5491.50,105.33,2.3917e-02,3.8550e-04,1.6118e-02,2.5213
3680,5521.50,105.93,2.3868e-02,3.8520e-04,1.6139e-02,2.5214
3700,5551.50,106.53,2.3847e-02,3.8664e-04,1.6213e-02,2.5213
3720,5581.50,107.13,2.3821e-02,3.8776e-04,1.6278e-02,2.5211
3740,5611.50,107.73,2.3937e-02,3.8831e-04,1.6222e-02,2.5212
3760,5641.50,108.33,2.4116e-02,3.8862e-04,1.6115e-02,2.5212
3780,5671.50,108.93,2.4380e-02,3.8796e-04,1.5913e-02,2.5212
3800,5701.50,109.53,2.4493e-02,3.8600e-04,1.5760e-02,2.5211
3820,5731.50,110.13,2.4752e-02,3.8491e-04,1.5551e-02,2.5210
3840,5761.50,110.73,2.4871e-02,3.8012e-04,1.5284e-02,2.5211
3860,5791.50,111.33,2.5028e-02,3.7998e-04,1.5183e-02,2.5211
3880,5821.50,111.93,2.4814e-02,3.7594e-04,1.5151e-02,2.5210
3900,5851.50,112.53,2.5056e-02,3.7637e-04,1.5021e-02,2.5208
3920,5881.50,113.13,2.5070e-02,3.7422e-04,1.4927e-02,2.5209
3940,5911.50,113.73,2.5070e-02,3.7132e-04,1.4811e-02,2.5209
3960,5941.50,114.33,2.5621e-02,3.7131e-04,1.4492e-02,2.5208
3980,5971.50,114.93,2.5788e-02,3.7074e-04,1.4377e-02,2.5205
4000,6001.50,115.53,2.5920e-02,3.6840e-04,1.4213e-02,2.5206
4020,6031.50,116.13,2.6047e-02,3.6506e-04,1.4016e-02,2.5206
4040,6061.50,116.73,2.5906e-02,3.6124e-04,1.3944e-02,2.5205
4060,6091.50,117.33,2.7148e-02,3.5799e-04,1.3187e-02,2.5203
4080,6121.50,117.93,2.7770e-02,3.5463e-04,1.2771e-02,2.5202
4100,6151.50,118.53,2.7474e-02,3.4868e-04,1.2691e-02,2.5203
4120,6181.50,119.13,2.7618e-02,3.4766e-04,1.2588e-02,2.5202
4140,6211.50,119.73,2.7867e-02,3.4452e-04,1.2363e-02,2.5200
4160,6241.50,120.33,2.8079e-02,3.4482e-04,1.2280e-02,2.5198
4180,6271.50,120.93,2.8225e-02,3.4410e-04,1.2191e-02,2.5199
4200,6301.50,121.53,2.8598e-02,3.4446e-04,1.2045e-02,2.5199
4220,6331.50,122.13,2.7254e-02,3.3962e-04,1.2461e-02,2.5197
4240,6361.50,122.73,2.6569e-02,3.3391e-04,1.2568e-02,2.5193
4260,6391.50,123.33,2.8769e-02,3.3356e-04,1.1595e-02,2.5194
4280,6421.50,123.93,2.9533e-02,3.3285e-04,1.1270e-02,2.5193
4300,6451.50,124.53,3.0605e-02,3.3542e-04,1.0960e-02,2.5191
4320,6481.50,125.13,3.1030e-02,3.3131e-04,1.0677e-02,2.5188
4340,6511.50,125.73,3.1740e-02,3.3306e-04,1.0493e-02,2.5187
4360,6541.50,126.33,3.2803e-02,3.3608e-04,1.0245e-02,2.5187
4380,6571.50,126.93,3.3384e-02,3.3706e-04,1.0096e-02,2.5185
4400,6601.50,127.53,3.3987e-02,3.3347e-04,9.8117e-03,2.5182
4420,6631.50,128.13,3.4509e-02,3.3112e-04,9.5954e-03,2.5180
4440,6661.50,128.73,3.3254e-02,3.2890e-04,9.8905e-03,2.5180
4460,6691.50,129.33,3.2037e-02,3.2851e-04,1.0254e-02,2.5178
4480,6721.50,129.93,3.1543e-02,3.2696e-04,1.0366e-02,2.5176
4500,6751.50,130.53,3.1147e-02,3.2530e-04,1.0444e-02,2.5173
4520,6781.50,131.13,3.0512e-02,3.2644e-04,1.0699e-02,2.5173
4540,6811.50,131.73,3.0253e-02,3.2698e-04,1.0808e-02,2.5172
4560,6841.50,132.33,2.9901e-02,3.2807e-04,1.0972e-02,2.5170
4580,6871.50,132.93,2.9751e-02,3.2793e-04,1.1022e-02,2.5167
4600,6901.50,133.53,2.9301e-02,3.2913e-04,1.1233e-02,2.5167
4620,6931.50,134.13,2.9359e-02,3.2718e-04,1.1144e-02,2.5167
4640,6961.50,134.73,2.9637e-02,3.2806e-04,1.1070e-02,2.5165
4660,6991.50,135.33,2.9634e-02,3.2527e-04,1.0976e-02,2.5162
4680,7021.50,135.93,2.9890e-02,3.2474e-04,1.0865e-02,2.5161
4700,7051.50,136.53,2.9794e-02,3.2554e-04,1.0926e-02,2.5161
4720,7081.50,137.13,2.9223e-02,3.2624e-04,1.1164e-02,2.5160
4740,7111.50,137.73,2.9033e-02,3.2733e-04,1.1274e-02,2.5156
4760,7141.50,138.33,2.8983e-02,3.2969e-04,1.1375e-02,2.5154
4780,7171.50,138.93,2.9098e-02,3.3294e-04,1.1442e-02,2.5153
4800,7201.50,139.53,2.9034e-02,3.3302e-04,1.1470e-02,2.5150
